school_name,grade,average_math_level,average_ela_level,district,lat,long,city,zip,grade_low,grade_high,econ_need_index,perc_ell,perc_asian,perc_black,perc_hispanic,perc_white,perc_attendance,perc_chron_absent,perc_rigorous_instruction,perc_collaborative_teachers,perc_supportive_environment,perc_effective_leadership,perc_community_ties,perc_trust,grades,n_grades,in_manhattan
P.S. 015 Roberto Clemente,3,1.571428571,1.7,1,40.722075,-73.978747,MANHATTAN,10009,PK,5,0.919,9,5,32,60,1,94,18,89,94,86,91,85,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 015 Roberto Clemente,4,2.266666667,1.866666667,1,40.722075,-73.978747,MANHATTAN,10009,PK,5,0.919,9,5,32,60,1,94,18,89,94,86,91,85,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 015 Roberto Clemente,5,1.6875,1.6875,1,40.722075,-73.978747,MANHATTAN,10009,PK,5,0.919,9,5,32,60,1,94,18,89,94,86,91,85,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 019 Asher Levy,3,2.606060606,2.515151515,1,40.730009,-73.984496,MANHATTAN,10003,PK,5,0.641,5,10,20,63,6,92,30,96,96,97,90,86,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 019 Asher Levy,4,2.714285714,2.482758621,1,40.730009,-73.984496,MANHATTAN,10003,PK,5,0.641,5,10,20,63,6,92,30,96,96,97,90,86,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 019 Asher Levy,5,2.4375,2.59375,1,40.730009,-73.984496,MANHATTAN,10003,PK,5,0.641,5,10,20,63,6,92,30,96,96,97,90,86,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 020 Anna Silver,3,2.197368421,2.210526316,1,40.721305,-73.986312,MANHATTAN,10002,PK,5,0.744,15,35,8,49,4,94,20,87,77,82,61,80,79,"PK,0K,01,02,03,04,05",7,Yes
P.S. 020 Anna Silver,4,2.14084507,2.242857143,1,40.721305,-73.986312,MANHATTAN,10002,PK,5,0.744,15,35,8,49,4,94,20,87,77,82,61,80,79,"PK,0K,01,02,03,04,05",7,Yes
P.S. 020 Anna Silver,5,2.082191781,1.849315068,1,40.721305,-73.986312,MANHATTAN,10002,PK,5,0.744,15,35,8,49,4,94,20,87,77,82,61,80,79,"PK,0K,01,02,03,04,05",7,Yes
P.S. 034 Franklin D. Roosevelt,3,2.310344828,2.222222222,1,40.726008,-73.975058,MANHATTAN,10009,PK,8,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 034 Franklin D. Roosevelt,4,1.823529412,2.028571429,1,40.726008,-73.975058,MANHATTAN,10009,PK,8,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 034 Franklin D. Roosevelt,5,1.689655172,1.75862069,1,40.726008,-73.975058,MANHATTAN,10009,PK,8,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 034 Franklin D. Roosevelt,6,1.777777778,1.981481481,1,40.726008,-73.975058,MANHATTAN,10009,PK,8,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 034 Franklin D. Roosevelt,7,1.836363636,2.145454545,1,40.726008,-73.975058,MANHATTAN,10009,PK,8,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 034 Franklin D. Roosevelt,8,1.770833333,2.170212766,1,40.726008,-73.975058,MANHATTAN,10009,PK,8,0.86,7,5,29,63,4,92,28,85,78,82,73,89,88,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
The STAR Academy - P.S.63,3,2.619047619,2.523809524,1,40.72444,-73.986214,MANHATTAN,10009,PK,5,0.73,3,4,20,65,10,93,23,90,88,87,81,89,93,"PK,0K,01,02,03,04,05",7,Yes
The STAR Academy - P.S.63,4,2.333333333,2.333333333,1,40.72444,-73.986214,MANHATTAN,10009,PK,5,0.73,3,4,20,65,10,93,23,90,88,87,81,89,93,"PK,0K,01,02,03,04,05",7,Yes
The STAR Academy - P.S.63,5,2.583333333,2.083333333,1,40.72444,-73.986214,MANHATTAN,10009,PK,5,0.73,3,4,20,65,10,93,23,90,88,87,81,89,93,"PK,0K,01,02,03,04,05",7,Yes
P.S. 064 Robert Simon,3,2.064516129,1.827586207,1,40.72313,-73.981597,MANHATTAN,10009,PK,5,0.858,6,7,19,66,7,92,33,93,99,95,91,88,97,"PK,0K,01,02,03,04,05",7,Yes
P.S. 064 Robert Simon,4,2.025,2.075,1,40.72313,-73.981597,MANHATTAN,10009,PK,5,0.858,6,7,19,66,7,92,33,93,99,95,91,88,97,"PK,0K,01,02,03,04,05",7,Yes
P.S. 064 Robert Simon,5,2.068181818,1.833333333,1,40.72313,-73.981597,MANHATTAN,10009,PK,5,0.858,6,7,19,66,7,92,33,93,99,95,91,88,97,"PK,0K,01,02,03,04,05",7,Yes
P.S. 110 Florence Nightingale,3,3.012345679,2.654320988,1,40.7162,-73.9798,MANHATTAN,10002,PK,5,0.499,1,16,10,43,27,95,13,88,78,95,69,87,78,"PK,0K,01,02,03,04,05",7,Yes
P.S. 110 Florence Nightingale,4,3.040816327,2.775510204,1,40.7162,-73.9798,MANHATTAN,10002,PK,5,0.499,1,16,10,43,27,95,13,88,78,95,69,87,78,"PK,0K,01,02,03,04,05",7,Yes
P.S. 110 Florence Nightingale,5,2.476923077,2.292307692,1,40.7162,-73.9798,MANHATTAN,10002,PK,5,0.499,1,16,10,43,27,95,13,88,78,95,69,87,78,"PK,0K,01,02,03,04,05",7,Yes
P.S. 134 Henrietta Szold,3,2.166666667,1.885714286,1,40.714248,-73.983854,MANHATTAN,10002,PK,5,0.833,12,21,20,55,3,91,36,87,89,88,88,79,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 134 Henrietta Szold,4,1.906976744,1.790697674,1,40.714248,-73.983854,MANHATTAN,10002,PK,5,0.833,12,21,20,55,3,91,36,87,89,88,88,79,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 134 Henrietta Szold,5,2.617647059,2.441176471,1,40.714248,-73.983854,MANHATTAN,10002,PK,5,0.833,12,21,20,55,3,91,36,87,89,88,88,79,94,"PK,0K,01,02,03,04,05",7,Yes
P.S. 140 Nathan Straus,3,1.464285714,1.785714286,1,40.719148,-73.983769,MANHATTAN,10002,PK,8,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 140 Nathan Straus,4,1.65625,1.483870968,1,40.719148,-73.983769,MANHATTAN,10002,PK,8,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 140 Nathan Straus,5,1.523809524,1.619047619,1,40.719148,-73.983769,MANHATTAN,10002,PK,8,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 140 Nathan Straus,6,2.214285714,1.796296296,1,40.719148,-73.983769,MANHATTAN,10002,PK,8,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 140 Nathan Straus,7,1.565217391,1.914893617,1,40.719148,-73.983769,MANHATTAN,10002,PK,8,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 140 Nathan Straus,8,1.672131148,2.245901639,1,40.719148,-73.983769,MANHATTAN,10002,PK,8,0.849,14,5,12,78,3,92,27,94,91,85,87,83,93,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
P.S. 142 Amalia Castro,3,1.921052632,1.825,1,40.718121,-73.984116,MANHATTAN,10002,PK,5,0.861,8,6,11,78,2,92,27,92,89,90,83,89,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 142 Amalia Castro,4,1.727272727,1.844827586,1,40.718121,-73.984116,MANHATTAN,10002,PK,5,0.861,8,6,11,78,2,92,27,92,89,90,83,89,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 142 Amalia Castro,5,1.829787234,1.782608696,1,40.718121,-73.984116,MANHATTAN,10002,PK,5,0.861,8,6,11,78,2,92,27,92,89,90,83,89,95,"PK,0K,01,02,03,04,05",7,Yes
P.S. 184m Shuang Wen,3,3.542372881,2.677966102,1,40.711125,-73.985438,MANHATTAN,10002,PK,8,0.559,17,71,4,12,9,98,2,90,81,91,67,83,85,"PK,0K,01,02,03,04,05,06,07,08",10,Yes
